run,iterations,city,ants,Initialize Datastructures and Skeletons,Read Data and Copy to Device,Calculate Distance,Calculate Iroulette,Average of Route Kernel,Average of update delta phero,Average of  minKernel,Average of  update phero and best_route,total time,
26,15,1,2048,0.00192,0.00032,0.00005,0.00101,0.00373,0.00019,0.00004,0.00004,0.17955, 
27,15,1,2048,0.00194,0.00033,0.00005,0.00101,0.00373,0.00019,0.00004,0.00005,0.18403, 
28,15,1,2048,0.00214,0.00032,0.00005,0.00102,0.00374,0.00019,0.00004,0.00005,0.18762, 
29,15,1,2048,0.00222,0.00030,0.00005,0.00101,0.00375,0.00019,0.00004,0.00005,0.21848, 
30,15,1,2048,0.00210,0.00032,0.00005,0.00101,0.00373,0.00019,0.00004,0.00004,0.18568, 
1,15,1,4096,0.00255,0.00033,0.00005,0.00101,0.00413,0.00019,0.00004,0.00005,0.19375, 
2,15,1,4096,0.00260,0.00032,0.00005,0.00095,0.00388,0.00018,0.00004,0.00004,0.18273, 
3,15,1,4096,0.00221,0.00032,0.00005,0.00095,0.00388,0.00018,0.00003,0.00004,0.18580, 
4,15,1,4096,0.00269,0.00032,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.24347, 
5,15,1,4096,0.00261,0.00032,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.18647, 
6,15,1,4096,0.00260,0.00033,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.18275, 
7,15,1,4096,0.00224,0.00033,0.00005,0.00095,0.00388,0.00018,0.00004,0.00004,0.18545, 
8,15,1,4096,0.00244,0.00032,0.00005,0.00095,0.00388,0.00018,0.00004,0.00004,0.18783, 
9,15,1,4096,0.00256,0.00033,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.18662, 
10,15,1,4096,0.00270,0.00035,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.19762, 
11,15,1,4096,0.00263,0.00032,0.00005,0.00095,0.00388,0.00018,0.00004,0.00004,0.18426, 
12,15,1,4096,0.00261,0.00033,0.00005,0.00095,0.00388,0.00018,0.00004,0.00004,0.18898, 
13,15,1,4096,0.00260,0.00033,0.00005,0.00095,0.00389,0.00018,0.00004,0.00004,0.18689, 
14,15,1,4096,0.00226,0.00033,0.00005,0.00093,0.00381,0.00018,0.00004,0.00004,0.18884, 
15,15,1,4096,0.00227,0.00033,0.00005,0.00093,0.00539,0.00018,0.00004,0.00004,0.22608, 
16,15,1,4096,0.00246,0.00030,0.00004,0.00093,0.00380,0.00018,0.00004,0.00005,0.22547, 
17,15,1,4096,0.00229,0.00032,0.00005,0.00093,0.00381,0.00018,0.00004,0.00004,0.18393, 
18,15,1,4096,0.00259,0.00033,0.00007,0.00093,0.00381,0.00018,0.00004,0.00004,0.18533, 
19,15,1,4096,0.00240,0.00032,0.00005,0.00095,0.00407,0.00019,0.00004,0.00004,0.18591, 
20,15,1,4096,0.00263,0.00033,0.00005,0.00101,0.00412,0.00019,0.00004,0.00005,0.18812, 
21,15,1,4096,0.00244,0.00032,0.00005,0.00101,0.00413,0.00019,0.00004,0.00004,0.24403, 
22,15,1,4096,0.00227,0.00031,0.00005,0.00101,0.00413,0.00019,0.00004,0.00004,0.19000, 
23,15,1,4096,0.00260,0.00033,0.00005,0.00101,0.00412,0.00019,0.00004,0.00004,0.19413, 
24,15,1,4096,0.00264,0.00030,0.00005,0.00096,0.00392,0.00018,0.00004,0.00004,0.19028, 
25,15,1,4096,0.00240,0.00033,0.00005,0.00096,0.00391,0.00018,0.00004,0.00004,0.18967, 
26,15,1,4096,0.00271,0.00035,0.00005,0.00097,0.00392,0.00018,0.00004,0.00004,0.18800, 
27,15,1,4096,0.00261,0.00034,0.00005,0.00096,0.00390,0.00018,0.00004,0.00004,0.20284, 
28,15,1,4096,0.00258,0.00033,0.00005,0.00096,0.00391,0.00018,0.00004,0.00004,0.18410, 
29,15,1,4096,0.00262,0.00032,0.00005,0.00096,0.00392,0.00018,0.00004,0.00004,0.18276, 
30,15,1,4096,0.00240,0.00033,0.00007,0.00096,0.00391,0.00018,0.00004,0.00004,0.18943, 
1,15,1,8192,0.00502,0.00033,0.00005,0.00096,0.00498,0.00021,0.00004,0.00005,0.20767, 
2,15,1,8192,0.00519,0.00032,0.00004,0.00079,0.00414,0.00018,0.00004,0.00004,0.25071, 
3,15,1,8192,0.00501,0.00031,0.00005,0.00078,0.00410,0.00017,0.00004,0.00004,0.19381, 
4,15,1,8192,0.00466,0.00033,0.00006,0.00078,0.00409,0.00017,0.00004,0.00004,0.19141, 
5,15,1,8192,0.00497,0.00032,0.00004,0.00078,0.00406,0.00017,0.00004,0.00004,0.18664, 
6,15,1,8192,0.00476,0.00033,0.00005,0.00078,0.00408,0.00017,0.00004,0.00004,0.19147, 
7,15,1,8192,0.00496,0.00032,0.00005,0.00076,0.00395,0.00017,0.00004,0.00004,0.18532, 
8,15,1,8192,0.00515,0.00031,0.00004,0.00077,0.00395,0.00017,0.00004,0.00004,0.22528, 
9,15,1,8192,0.00501,0.00033,0.00004,0.00076,0.00395,0.00017,0.00004,0.00004,0.18944, 
10,15,1,8192,0.00465,0.00033,0.00005,0.00076,0.00395,0.00017,0.00004,0.00004,0.19120, 
11,15,1,8192,0.00498,0.00033,0.00005,0.00101,0.00525,0.00022,0.00004,0.00004,0.21821, 
12,15,1,8192,0.00500,0.00032,0.00005,0.00101,0.00526,0.00022,0.00004,0.00005,0.21373, 
13,15,1,8192,0.00498,0.00033,0.00005,0.00101,0.00526,0.00022,0.00004,0.00004,0.22363, 
14,15,1,8192,0.00506,0.00032,0.00005,0.00081,0.00424,0.00018,0.00004,0.00004,0.25451, 
15,15,1,8192,0.00500,0.00033,0.00006,0.00081,0.00426,0.00018,0.00004,0.00004,0.19327, 
16,15,1,8192,0.00500,0.00033,0.00005,0.00080,0.00415,0.00018,0.00004,0.00004,0.18684, 
17,15,1,8192,0.00500,0.00033,0.00005,0.00080,0.00417,0.00018,0.00004,0.00004,0.19618, 
18,15,1,8192,0.00504,0.00032,0.00004,0.00080,0.00417,0.00018,0.00004,0.00004,0.23913, 
19,15,1,8192,0.00470,0.00032,0.00004,0.00080,0.00417,0.00018,0.00004,0.00004,0.19102, 
20,15,1,8192,0.00503,0.00033,0.00005,0.00078,0.00410,0.00018,0.00004,0.00004,0.19213, 
21,15,1,8192,0.00497,0.00032,0.00007,0.00078,0.00410,0.00018,0.00004,0.00004,0.19585, 
22,15,1,8192,0.00500,0.00032,0.00005,0.00078,0.00409,0.00017,0.00004,0.00004,0.18721, 
23,15,1,8192,0.00607,0.00033,0.00005,0.00078,0.00558,0.00018,0.00004,0.00004,0.21914, 
24,15,1,8192,0.00491,0.00034,0.00005,0.00078,0.00408,0.00018,0.00004,0.00004,0.20172, 
25,15,1,8192,0.00499,0.00033,0.00004,0.00076,0.00395,0.00017,0.00004,0.00004,0.18797, 
26,15,1,8192,0.00499,0.00033,0.00004,0.00076,0.00396,0.00017,0.00004,0.00004,0.18550, 
27,15,1,8192,0.00497,0.00033,0.00004,0.00076,0.00396,0.00017,0.00004,0.00004,0.19207, 
28,15,1,8192,0.00501,0.00035,0.00005,0.00076,0.00396,0.00017,0.00004,0.00004,0.19204, 
29,15,1,8192,0.00532,0.00033,0.00005,0.00076,0.00395,0.00017,0.00004,0.00004,0.24524, 
30,15,1,8192,0.00481,0.00032,0.00004,0.00085,0.00443,0.00019,0.00004,0.00004,0.19954, 
1,15,3,1024,0.00454,0.01741,0.00006,0.01200,0.04208,0.00089,0.00003,0.00016,0.81258, 
2,15,3,1024,0.00457,0.00128,0.00005,0.01106,0.04105,0.00087,0.00003,0.00016,0.77460, 
3,15,3,1024,0.00422,0.00142,0.00005,0.01106,0.04105,0.00087,0.00003,0.00016,0.78018, 
4,15,3,1024,0.00464,0.00132,0.00007,0.01106,0.04101,0.00087,0.00003,0.00016,0.77917, 
5,15,3,1024,0.00424,0.00132,0.00006,0.01105,0.04098,0.00087,0.00003,0.00016,0.77512, 
6,15,3,1024,0.00458,0.00129,0.00007,0.01105,0.04106,0.00087,0.00003,0.00016,0.77914, 
7,15,3,1024,0.00449,0.00128,0.00005,0.01106,0.04114,0.00087,0.00003,0.00016,0.78332, 
8,15,3,1024,0.00471,0.00130,0.00006,0.01105,0.04112,0.00087,0.00003,0.00016,0.77886, 
9,15,3,1024,0.00478,0.00131,0.00005,0.01106,0.04117,0.00087,0.00003,0.00016,0.78771, 
10,15,3,1024,0.00459,0.00129,0.00005,0.01106,0.04108,0.00087,0.00003,0.00016,0.77354, 
11,15,3,1024,0.00464,0.00129,0.00005,0.01106,0.04111,0.00087,0.00003,0.00016,0.81686, 
12,15,3,1024,0.00459,0.00128,0.00004,0.01106,0.04111,0.00087,0.00003,0.00016,0.78032, 
13,15,3,1024,0.00447,0.00134,0.00006,0.01106,0.04115,0.00087,0.00003,0.00016,0.81485, 
14,15,3,1024,0.00456,0.00128,0.00004,0.01105,0.04102,0.00087,0.00003,0.00016,0.77556, 
15,15,3,1024,0.00449,0.00127,0.00005,0.01105,0.04108,0.00087,0.00003,0.00016,0.85744, 
16,15,3,1024,0.00459,0.00128,0.00004,0.01107,0.04109,0.00087,0.00003,0.00016,0.77756, 
17,15,3,1024,0.00492,0.00129,0.00004,0.01106,0.04106,0.00087,0.00003,0.00016,0.85292, 
18,15,3,1024,0.00459,0.00129,0.00005,0.01107,0.04120,0.00087,0.00003,0.00016,0.77801, 
19,15,3,1024,0.00476,0.00131,0.00004,0.01106,0.04112,0.00087,0.00003,0.00016,0.85706, 
20,15,3,1024,0.00426,0.00129,0.00004,0.01106,0.04116,0.00087,0.00003,0.00016,0.78288, 
21,15,3,1024,0.00453,0.00129,0.00004,0.01108,0.04121,0.00087,0.00003,0.00016,0.83309, 
22,15,3,1024,0.00466,0.00129,0.00004,0.01117,0.04143,0.00088,0.00003,0.00016,0.78895, 
23,15,3,1024,0.00436,0.00134,0.00004,0.01116,0.04146,0.00088,0.00003,0.00016,0.79093, 
24,15,3,1024,0.00458,0.00130,0.00005,0.01115,0.04149,0.00088,0.00003,0.00016,0.78314, 
25,15,3,1024,0.00471,0.00133,0.00005,0.01117,0.04290,0.00088,0.00003,0.00016,0.82380, 
26,15,3,1024,0.00459,0.00128,0.00005,0.01116,0.04147,0.00088,0.00003,0.00016,0.78926, 
27,15,3,1024,0.00428,0.00127,0.00007,0.01117,0.04149,0.00088,0.00003,0.00016,0.82029, 
28,15,3,1024,0.00457,0.00128,0.00005,0.01115,0.04151,0.00088,0.00003,0.00016,0.78790, 
29,15,3,1024,0.00437,0.00124,0.00004,0.01116,0.04146,0.00088,0.00003,0.00016,0.79240, 
30,15,3,1024,0.00458,0.00128,0.00005,0.01117,0.04149,0.00088,0.00003,0.00016,0.79063, 
1,15,3,2048,0.00717,0.00129,0.00005,0.01118,0.04166,0.00088,0.00004,0.00016,0.79589, 
2,15,3,2048,0.00723,0.00129,0.00004,0.01119,0.04170,0.00088,0.00004,0.00016,0.79542, 
3,15,3,2048,0.00755,0.00130,0.00005,0.01117,0.04162,0.00088,0.00004,0.00016,0.79354, 
4,15,3,2048,0.00761,0.00129,0.00006,0.01118,0.04160,0.00088,0.00004,0.00016,0.82632, 
