 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 3; 15; 2; 8192; 0.00012; 0.01114; 0.00089; 0.01481;  5.79925; 0.03987;  0.03987; 0.00283 ;  15822.455581 ; 87.645413 ;
 4; 15; 2; 8192; 0.00013; 0.01205; 0.00089; 0.01479;  5.80323; 0.03995;  0.03995; 0.00010 ;  15897.336455 ; 87.707202 ;
 0; 15; 3; 1024; 0.00261; 0.01868; 0.00007; 0.00292;  0.06174; 0.00026;  0.00026; 0.00006 ;  11262.920665 ; 1.109970 ;
 1; 15; 3; 1024; 0.00008; 0.00105; 0.00005; 0.00203;  0.05848; 0.00066;  0.00066; 0.00020 ;  11062.350363 ; 0.894787 ;
 2; 15; 3; 1024; 0.00008; 0.00099; 0.00007; 0.00203;  0.05837; 0.00025;  0.00025; 0.00003 ;  11237.001362 ; 0.886786 ;
 3; 15; 3; 1024; 0.00008; 0.00096; 0.00005; 0.00203;  0.05849; 0.00025;  0.00025; 0.00004 ;  11153.165831 ; 0.887672 ;
 4; 15; 3; 1024; 0.00008; 0.00093; 0.00006; 0.00204;  0.05825; 0.00047;  0.00047; 0.00003 ;  10799.326647 ; 0.887977 ;
 0; 15; 3; 2048; 0.00010; 0.00129; 0.00005; 0.00203;  0.05868; 0.00046;  0.00046; 0.00004 ;  11165.026607 ; 0.895744 ;
 1; 15; 3; 2048; 0.00010; 0.00088; 0.00005; 0.00203;  0.05860; 0.00047;  0.00047; 0.00006 ;  10922.995003 ; 0.894501 ;
 2; 15; 3; 2048; 0.00010; 0.00092; 0.00006; 0.00203;  0.05872; 0.00061;  0.00061; 0.00003 ;  10881.365625 ; 0.898621 ;
 3; 15; 3; 2048; 0.00009; 0.00089; 0.00005; 0.00203;  0.05871; 0.00048;  0.00048; 0.00003 ;  10727.455790 ; 0.896242 ;
 4; 15; 3; 2048; 0.00009; 0.00094; 0.00005; 0.00203;  0.05859; 0.00047;  0.00047; 0.00003 ;  10949.379681 ; 0.894601 ;
 0; 15; 3; 4096; 0.00009; 0.00092; 0.00005; 0.00203;  0.06618; 0.00103;  0.00103; 0.00003 ;  10762.677928 ; 1.020653 ;
 1; 15; 3; 4096; 0.00010; 0.00092; 0.00005; 0.00203;  0.06623; 0.00089;  0.00089; 0.00007 ;  10935.717214 ; 1.018979 ;
 2; 15; 3; 4096; 0.00010; 0.00094; 0.00006; 0.00203;  0.06631; 0.00091;  0.00091; 0.00003 ;  11071.275492 ; 1.020437 ;
 3; 15; 3; 4096; 0.00009; 0.00095; 0.00005; 0.00203;  0.06644; 0.00126;  0.00126; 0.00003 ;  10827.471726 ; 1.027836 ;
 4; 15; 3; 4096; 0.00010; 0.00095; 0.00005; 0.00204;  0.06651; 0.00089;  0.00089; 0.00007 ;  10744.085092 ; 1.022925 ;
 0; 15; 3; 8192; 0.00011; 0.00096; 0.00006; 0.00204;  0.11318; 0.00174;  0.00174; 0.00003 ;  10881.105511 ; 1.743613 ;
 1; 15; 3; 8192; 0.00011; 0.00096; 0.00005; 0.00204;  0.11281; 0.00176;  0.00176; 0.00007 ;  10812.053830 ; 1.737981 ;
 2; 15; 3; 8192; 0.00011; 0.00097; 0.00006; 0.00204;  0.11268; 0.00176;  0.00176; 0.00003 ;  10540.889369 ; 1.736887 ;
 3; 15; 3; 8192; 0.00011; 0.00097; 0.00005; 0.00205;  0.11338; 0.00175;  0.00175; 0.00003 ;  10811.104906 ; 1.746184 ;
 4; 15; 3; 8192; 0.00011; 0.00095; 0.00005; 0.00205;  0.11325; 0.00175;  0.00175; 0.00003 ;  10936.361673 ; 1.744850 ;
 0; 15; 4; 1024; 0.00255; 0.00396; 0.00013; 0.00443;  0.11532; 0.00044;  0.00044; 0.00002 ;  3139.151032 ; 1.879245 ;
 1; 15; 4; 1024; 0.00008; 0.00123; 0.00009; 0.00307;  0.11109; 0.00044;  0.00044; 0.00007 ;  3174.077033 ; 1.681520 ;
 2; 15; 4; 1024; 0.00007; 0.00127; 0.00009; 0.00308;  0.11060; 0.00043;  0.00043; 0.00002 ;  3184.466888 ; 1.674025 ;
 3; 15; 4; 1024; 0.00007; 0.00123; 0.00009; 0.00308;  0.11104; 0.00044;  0.00044; 0.00005 ;  3159.246201 ; 1.680589 ;
 4; 15; 4; 1024; 0.00007; 0.00126; 0.00009; 0.00308;  0.11124; 0.00043;  0.00043; 0.00002 ;  3167.993708 ; 1.683692 ;
 0; 15; 4; 2048; 0.00007; 0.00115; 0.00009; 0.00307;  0.11071; 0.00083;  0.00083; 0.00002 ;  3210.532160 ; 1.683082 ;
 1; 15; 4; 2048; 0.00009; 0.00128; 0.00009; 0.00307;  0.11142; 0.00083;  0.00083; 0.00005 ;  3150.524673 ; 1.694070 ;
 2; 15; 4; 2048; 0.00009; 0.00134; 0.00009; 0.00308;  0.11117; 0.00083;  0.00083; 0.00002 ;  3171.685525 ; 1.706943 ;
 3; 15; 4; 2048; 0.00008; 0.00125; 0.00009; 0.00308;  0.11145; 0.00083;  0.00083; 0.00002 ;  3133.856560 ; 1.694492 ;
 4; 15; 4; 2048; 0.00008; 0.00123; 0.00009; 0.00308;  0.11099; 0.00083;  0.00083; 0.00002 ;  3154.594082 ; 1.687593 ;
 0; 15; 4; 4096; 0.00009; 0.00124; 0.00009; 0.00308;  0.13921; 0.00162;  0.00162; 0.00005 ;  3045.367477 ; 2.126329 ;
 1; 15; 4; 4096; 0.00009; 0.00123; 0.00009; 0.00310;  0.13905; 0.00162;  0.00162; 0.00002 ;  3170.520766 ; 2.124217 ;
 2; 15; 4; 4096; 0.00009; 0.00121; 0.00009; 0.00309;  0.13900; 0.00162;  0.00162; 0.00002 ;  3163.539017 ; 2.123156 ;
 3; 15; 4; 4096; 0.00009; 0.00120; 0.00009; 0.00309;  0.13897; 0.00162;  0.00162; 0.00002 ;  3088.034382 ; 2.122563 ;
 4; 15; 4; 4096; 0.00010; 0.00121; 0.00009; 0.00309;  0.13859; 0.00162;  0.00162; 0.00005 ;  3146.506604 ; 2.137446 ;
 0; 15; 4; 8192; 0.00010; 0.00121; 0.00010; 0.00309;  0.29355; 0.00324;  0.00324; 0.00002 ;  3096.670137 ; 4.473564 ;
 1; 15; 4; 8192; 0.00011; 0.00125; 0.00009; 0.00312;  0.29429; 0.00324;  0.00324; 0.00002 ;  3113.907777 ; 4.484636 ;
 2; 15; 4; 8192; 0.00010; 0.00123; 0.00010; 0.00312;  0.29421; 0.00325;  0.00325; 0.00006 ;  3134.508147 ; 4.483734 ;
 3; 15; 4; 8192; 0.00011; 0.00117; 0.00010; 0.00314;  0.29283; 0.00325;  0.00325; 0.00003 ;  3103.805535 ; 4.463097 ;
 4; 15; 4; 8192; 0.00011; 0.00119; 0.00010; 0.00314;  0.29489; 0.00325;  0.00325; 0.00002 ;  3158.368523 ; 4.494926 ;
 0; 15; 5; 1024; 0.00260; 0.02224; 0.00007; 0.00312;  0.06308; 0.00026;  0.00026; 0.00005 ;  17768.263299 ; 1.165970 ;
 1; 15; 5; 1024; 0.00008; 0.00076; 0.00005; 0.00205;  0.05997; 0.00024;  0.00024; 0.00002 ;  17746.197922 ; 0.909540 ;
 2; 15; 5; 1024; 0.00007; 0.00072; 0.00005; 0.00205;  0.05969; 0.00024;  0.00024; 0.00003 ;  17847.247089 ; 0.905069 ;
 3; 15; 5; 1024; 0.00007; 0.00073; 0.00005; 0.00205;  0.05948; 0.00024;  0.00024; 0.00002 ;  17669.119827 ; 0.901629 ;
 4; 15; 5; 1024; 0.00007; 0.00072; 0.00005; 0.00205;  0.05962; 0.00024;  0.00024; 0.00002 ;  17892.286522 ; 0.903996 ;
